STATION_ID,LONGITUDE,LATITUDE,bairdi,bkc,ei,hybrid,opilio,rkc,TYPE
E-20,-169.47,56.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
E-21,-170.07,56.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
E-22,-170.68,56.33,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
F-01,-167.67,56.67,West 166,Pribilof Single,Bristol Bay,Single,Single,Bristol Bay,standard
F-02,-167.07,56.67,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-03,-166.43,56.67,West 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-04,-165.83,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-05,-165.22,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-06,-164.6,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-07,-164,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-08,-163.38,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-09,-162.78,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-10,-162.18,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-11,-161.58,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-12,-160.98,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-13,-160.37,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-14,-159.75,56.67,East 166,BKC Unstratified,Bristol Bay,Single,Single,Bristol Bay,standard
F-18,-168.28,56.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
F-19,-168.9,56.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
F-20,-169.5,56.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
F-21,-170.12,56.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
F-22,-170.73,56.67,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,Pribilof MTCA,standard
F-23,-171.35,56.67,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
F-24,-171.97,56.67,West 166,Pribilof Single,Pribilof Single,Single,Single,Pribilof Single,standard
